Date,phi,A,theta,M,ret,vol,event_next
1990-01-30,5.7775904358164265,5.8493055625594055,0.07171512674297897,0.04707701290050402,-0.0068499793942251586,0.009398200903825206,0
1990-01-31,5.796300841496868,5.84722694604715,0.05092610455028179,0.04744359305762571,0.01871040568044169,0.010829255648218983,0
1990-02-01,5.795419275083212,5.8451952726760155,0.04977599759280338,0.04766572682288072,-0.0008815664136561097,0.01080496921773678,0
1990-02-02,5.8018766948989615,5.8434965049200525,0.04161981002109094,0.047089925222710265,0.006457419815749432,0.01095047465102496,0
1990-02-05,5.804683077984327,5.841974409746102,0.037291331761775126,0.04615672584547835,0.002806383085365738,0.010894725720644087,0
1990-02-06,5.798061831411957,5.8402523478506465,0.04219051643868976,0.04577899161626039,-0.006621246572370509,0.010737569384722328,0
1990-02-07,5.810392209714459,5.839081362041385,0.02868915232692526,0.04415138787441895,0.01233037830250261,0.01122071883236881,0
1990-02-08,5.808022336981815,5.837863361058656,0.029841024076841194,0.04278849608417345,-0.002369872732644218,0.011145866803813251,0
1990-02-09,5.810002606090059,5.8367707824324375,0.026768176342378602,0.04126275134685965,0.0019802691082437818,0.00980587018844056,0
1990-02-12,5.799335008642698,5.835302712872055,0.03596770422935691,0.04075846114519272,-0.010667597447360677,0.009899056107817007,0
1990-02-13,5.8021787633230755,5.834003734458371,0.031824971135295144,0.03990765257282153,0.0028437546803772307,0.00953393463689852,0
1990-02-14,5.805165118358451,5.8328728083368055,0.02770768997835482,0.03874575137334851,0.0029863550353752544,0.009367706986209645,0
1990-02-15,5.813802163435791,5.832124939909315,0.018322776473524094,0.036800706144793804,0.00863704507734031,0.009582366118848426,0
1990-02-16,5.807301299103516,5.831151463799284,0.023850164695767617,0.03556732124488655,-0.006500864332275036,0.009639086434485102,0
1990-02-20,5.792983090340348,5.82965466484011,0.03667157449976166,0.03567248822154132,-0.014318208763167917,0.008270548692619856,0
1990-02-21,5.792007045346735,5.828178287605075,0.03617124225834001,0.035719988605998336,-0.0009760449936129234,0.008215114559840005,0
1990-02-22,5.785976749761558,5.8265233253367015,0.04054657557514307,0.03617966355544069,-0.006030295585176759,0.008270033682663883,0
1990-02-23,5.781206352791711,5.824746189158466,0.0435398363667554,0.03688063239461352,-0.004770396969847823,0.007840148713079068,0
1990-02-26,5.795054248725686,5.823581799337573,0.028527550611887165,0.03608510079625862,0.013847895933975174,0.00845057710064753,0
1990-02-27,5.799880252604348,5.822652326916662,0.022772074312314317,0.034817193512073456,0.004826003878662277,0.008487304183475618,0
1990-02-28,5.8048036328513515,5.8219523781297875,0.017148745278436017,0.03313448415648894,0.0049233802470034504,0.008337806392708086,0
1990-03-01,5.80736137488248,5.8213801819240105,0.014018807041530579,0.031313943478873854,0.0025577420311284627,0.007284573432148313,0
1990-03-02,5.815741199808434,5.821159045370459,0.005417845562025292,0.028847648439173992,0.008379824925953905,0.0074803153495256935,0
1990-03-05,5.8103622174575795,5.820735640354268,0.010373422896688744,0.02708819838750873,-0.005378982350854322,0.007495371357201764,0
1990-03-06,5.822838751769239,5.820818115311718,0.002020636457520375,0.02470081153703365,0.012476534311659293,0.007954932751042193,0
1990-03-07,5.819934587620245,5.8207834671669545,0.0008488795467096466,0.022429198966526603,-0.0029041641489939707,0.0078119071091321875,0
1990-03-08,5.829739387825587,5.821134679741802,0.008604708083784551,0.021112580787217835,0.009804800205341913,0.0076392099588088146,0
1990-03-09,5.822838751769239,5.82120150609582,0.0016372456734190521,0.019257786966856046,-0.006900636056347942,0.0078086823674517495,0
1990-03-12,5.825026221589996,5.821351494938729,0.003674726651267335,0.017773685984419026,0.0021874698207575705,0.007810550559131024,0
1990-03-13,5.817111159963204,5.82118520729263,0.004074047329425845,0.016468958493467294,-0.00791506162679223,0.0076206980592714935,0
1990-03-14,5.819697084757908,5.821126849546171,0.001429764788262844,0.01503665433106687,0.0025859247947037645,0.007617434310968797,0
1990-03-15,5.823252996297167,5.821210227850131,0.0020427684470352148,0.013799141389730523,0.003555911539258716,0.007626798347077515,0
1990-03-16,5.834547555246495,5.821733260297048,0.012814294949446747,0.013705346490655877,0.01129455894932807,0.007790012242581604,0
1990-03-19,5.839274440539947,5.822421149718338,0.01685329082160969,0.014005150712651479,0.004726885293452554,0.007620913769517286,0
1990-03-20,5.833552657486589,5.8228576794347395,0.010694978051849269,0.01368989617352746,-0.005721783053358465,0.006882607774727397,0
1990-03-21,5.828180590446757,5.8230664210430545,0.005114169403702462,0.012873160290686983,-0.00537206703983184,0.007051726802151348,0
1990-03-22,5.816188122313465,5.822796683837973,0.006608561524508616,0.012276531836765234,-0.011992468133292356,0.007511587227030636,0
1990-03-23,5.820735539969736,5.8227158546666695,0.001980314696933938,0.011295939728209872,0.00454741765627098,0.00738948666557276,0
1990-03-26,5.821950635795022,5.822685846083468,0.00073521028844592,0.010290155972041876,0.0012150958252865607,0.00684087958555764,0
1990-03-27,5.833347679010845,5.82310395717866,0.010243721832185138,0.010285733673007901,0.011397043215822578,0.007166900040279526,0
1990-03-28,5.834810737062605,5.823563046585873,0.011247690476731798,0.010377348606695891,0.0014630580517600578,0.0071259630917789255,0
1990-03-29,5.831266476875513,5.823865141891349,0.007401334984163732,0.010093918737883305,-0.0035442601870920853,0.007208459963239482,0
1990-03-30,5.828769138631079,5.824057455488985,0.004711683142094358,0.00958132487161769,-0.0024973382444333225,0.00704637859162948,0
1990-04-02,5.825114795864562,5.824098919817439,0.0010158760471226103,0.008765567840713397,-0.0036543427665174377,0.006978926077899499,0
